SoftwareName,Version,Publisher,InstallPath,InstallDate,LastModifiedDate,AppStartTime,ScanSource,DetectedLicenseType,LicenseName,ConfidenceLevel,IsVerified,EvidenceCount,Notes,PluginId,ScannedAtUtc
"TFTactics","1.18.0","Overwolf app","","2026/07/16","","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Travel Guide","6.7.1","Overwolf app","","2026/06/21","","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Travel Guide","6.7.1","Overwolf app","","2026/06/21","","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Postman x64 12.4.2","12.4.2","Postman","C:\Users\admin\AppData\Local\Postman","2026/03/31","2026/03/31 08:14:34 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Commercial","Postman Commercial / Enterprise Subscription License","Medium","False",1,"Flagged as commercial subscription evaluation required for organizational seat usage.","std.postman.client","2026/07/16 16:43:32 VN Time (UTC+7)"
"Python 3.14.6","3.14-64","Python Software Foundation","C:\Users\admin\AppData\Local\Python\pythoncore-3.14-64","2026/06/22","2026/06/22 08:42:44 UTC","","WindowsRegistryScanner (CurrentUser/Default)","OpenSource","Python Software Foundation (PSF) License","Verified","True",1,"Verified via standard Python distribution naming conventions.","std.python.runtime","2026/07/16 16:43:32 VN Time (UTC+7)"
"Python 3.14.6","3.14-64","Python Software Foundation","C:\Users\admin\AppData\Local\Python\pythoncore-3.14-64","2026/06/22","2026/06/22 08:42:44 UTC","","WindowsRegistryScanner (CurrentUser/Default)","OpenSource","Open Source License","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"Liên Minh Huyền Thoại","Unknown","Riot Games, Inc","E:/game/Riot Games/League of Legends","","2026/06/29 14:38:00 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Riot Client","Unknown","Riot Games, Inc","E:/game/Riot Games/Riot Client","","2026/06/03 03:50:44 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Google","1.0.13.0","Google","C:\Users\admin\AppData\Local\Google\Google","","2026/07/13 18:39:46 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Antigravity IDE (User)","2.1.1","Google","C:\Users\admin\AppData\Local\Programs\Antigravity IDE\","2026/06/29","2026/06/17 16:22:16 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA GeForce NOW 2.0.83.130","2.0.83.130","NVIDIA Corporation","C:\Users\admin\AppData\Local\NVIDIA Corporation\Installer2\GeForceNOW.{8DF3678D-DB1A-4333-8807-C44425E111AA}","2026/04/15","2026/04/15 04:56:36 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","NVIDIA GeForce NOW Cloud Gaming Terms of Service","High","True",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft® Windows® GameInput","3.3.221.0","Windows (R) Win 7 DDK provider","C:\Program Files\Microsoft GameInput\x64","2026/05/14","2026/05/15 00:08:18 VN Time (UTC+7)","2026/07/16 09:52:02 VN Time (UTC+7)","DeepFileSystem (RAM: GameInputRedistService.exe | Original: GameInputRedistService.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"CrossDeviceService","1.26052.99+d47faca674f8a6faf4a4ed605e6b37b2a464255c","Microsoft Corporation","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26052.99.0_x64__cw5n1h2txyewy","2026/07/02","2026/07/03 02:16:25 VN Time (UTC+7)","2026/07/16 09:52:06 VN Time (UTC+7)","DeepFileSystem (RAM: CrossDeviceService.exe | Original: CrossDeviceService.dll)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft® Windows® Operating System","526.15201.10.0","Microsoft Corporation","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.15201.50.0_x64__cw5n1h2txyewy\Dashboard","2026/07/02","2026/07/03 02:06:20 VN Time (UTC+7)","2026/07/16 09:52:06 VN Time (UTC+7)","DeepFileSystem (RAM: Widgets.exe | Original: Widgets.exe)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Edge WebView2","148.0.3967.70","Microsoft Corporation","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.70","2026/05/17","2026/05/15 14:59:46 VN Time (UTC+7)","2026/07/16 09:52:08 VN Time (UTC+7)","DeepFileSystem (RAM: msedgewebview2.exe | Original: msedgewebview2.exe)","Freeware","Chromium Based Freeware Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA App","11.0.7.247","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF","2026/05/02","2026/04/24 14:16:01 VN Time (UTC+7)","2026/07/16 09:52:08 VN Time (UTC+7)","DeepFileSystem (RAM: NVIDIA Overlay.exe | Original: NVIDIA Overlay.exe)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","High","True",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"Armoury Crate","6.5.7.0","ASUSTek COMPUTER INC.","C:\Program Files\WindowsApps\B9ECED6F.ArmouryCrate_6.5.7.0_x64__qmba6cd70vzyy","2026/07/02","2026/07/03 02:06:50 VN Time (UTC+7)","2026/07/16 09:52:21 VN Time (UTC+7)","DeepFileSystem (RAM: ArmouryCrate.exe | Original: ArmouryCrate.exe)","Freeware","Hardware Companion / OEM Bundled Software License","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"ASUS NodeJS Web Framework","4.2.4.13","ASUSTeK COMPUTER INC.","C:\Program Files (x86)\ASUS\ArmouryDevice","2026/04/17","2026/01/13 17:14:50 VN Time (UTC+7)","2026/07/16 09:52:28 VN Time (UTC+7)","DeepFileSystem (RAM: asus_framework.exe | Original: asus_framework.exe)","OpenSource","MIT License","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"ASUS NodeJS Web Framework","4.2.4.13","ASUSTeK COMPUTER INC.","C:\Program Files (x86)\ASUS\ArmouryDevice","2026/04/17","2026/01/13 17:14:50 VN Time (UTC+7)","2026/07/16 09:52:28 VN Time (UTC+7)","DeepFileSystem (RAM: asus_framework.exe | Original: asus_framework.exe)","Freeware","Hardware Companion / OEM Bundled Software License","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Cloudflare One Client","2026.4.1350.0","com.cloudflare","C:\Program Files\Cloudflare\Cloudflare WARP","2026/05/11","2026/05/11 15:46:42 VN Time (UTC+7)","2026/07/16 09:52:30 VN Time (UTC+7)","DeepFileSystem (RAM: Cloudflare WARP.exe | Original: Cloudflare WARP.exe)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Vanguard Tray","1.18.4-29+20260713.064847","Riot Games, Inc.","C:\Program Files\Riot Vanguard","2026/06/03","2026/07/13 14:00:06 VN Time (UTC+7)","2026/07/16 09:52:32 VN Time (UTC+7)","DeepFileSystem (RAM: vgtray.exe | Original: vgtray.exe)","Freeware","Proprietary Anti-Cheat / Security Driver EULA","Verified","True",1,"Verifies system integrity enforcement drivers and anti-tamper security platforms.","std.security.anticheat","2026/07/16 16:43:32 VN Time (UTC+7)"
"Vanguard Tray","1.18.4-29+20260713.064847","Riot Games, Inc.","C:\Program Files\Riot Vanguard","2026/06/03","2026/07/13 14:00:06 VN Time (UTC+7)","2026/07/16 09:52:32 VN Time (UTC+7)","DeepFileSystem (RAM: vgtray.exe | Original: vgtray.exe)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Steam","01.00.00.02","Valve Corporation","E:\steam","2026/07/16","2026/07/15 06:57:48 VN Time (UTC+7)","2026/07/16 09:52:33 VN Time (UTC+7)","DeepFileSystem (RAM: steam.exe | Original: steam.exe)","Freeware","Free Client Launcher / Platform Service EULA","High","True",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Steam Client WebHelper","01.00.00.01","Valve Corporation","E:\steam\bin\cef\cef.win64","2026/07/16","2026/07/15 06:57:48 VN Time (UTC+7)","2026/07/16 09:52:43 VN Time (UTC+7)","DeepFileSystem (RAM: steamwebhelper.exe | Original: steamwebhelper.exe)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"figma_agent","126.6.10","Unknown Publisher","C:\Users\admin\AppData\Local\FigmaAgent","2026/06/25","2026/06/26 04:47:14 VN Time (UTC+7)","2026/07/16 09:53:07 VN Time (UTC+7)","DeepFileSystem (RAM: figma_agent.exe | Original: )","Commercial","Figma Commercial Organization / Enterprise License","Medium","False",1,"Identified Figma desktop client tied to cloud organization seat management.","std.figma.design","2026/07/16 16:43:32 VN Time (UTC+7)"
"OP.GG","2.5.1.0","OP.GG","C:\Users\admin\AppData\Local\Programs\OP.GG","2026/06/29","2026/07/10 14:57:12 VN Time (UTC+7)","2026/07/16 09:53:40 VN Time (UTC+7)","DeepFileSystem (RAM: OP.GG.exe | Original: )","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Copilot","1.25121.84+9ebe80bda3d20cf7c1f95b4d84d061c2ea049968","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.84.0_x64__8wekyb3d8bbwe","2026/02/10","2026/02/10 19:57:58 VN Time (UTC+7)","2026/07/16 09:54:19 VN Time (UTC+7)","DeepFileSystem (RAM: Copilot.exe | Original: Copilot.dll)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"TranslucentTB","2026.1.0.322e2b7","TranslucentTB Open Source Developers","C:\Program Files\WindowsApps\28017CharlesMilette.TranslucentTB_2026.1.0.0_x64__v826wp6bftszj","2026/03/29","2026/03/29 21:41:12 VN Time (UTC+7)","2026/07/16 09:54:36 VN Time (UTC+7)","DeepFileSystem (RAM: TranslucentTB.exe | Original: TranslucentTB.exe)","OpenSource","MIT License (TranslucentTB Open Source)","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"NGENUITY","2.38.0.0","Hewlett-Packard Development Company, L.P.","C:\Program Files\WindowsApps\33C30B79.HyperXNGenuity_5.38.0.0_x64__0a78dr3hq0pvt\Assets\Native","2026/07/02","2026/07/03 02:00:38 VN Time (UTC+7)","2026/07/16 09:54:37 VN Time (UTC+7)","DeepFileSystem (RAM: NGenuity2Helper.exe | Original: NGenuity2Helper.exe)","Freeware","Hardware Companion / OEM Bundled Software License","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Xbox App","2606.1001.29.0","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.GamingApp_2606.1001.29.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 02:12:05 VN Time (UTC+7)","2026/07/16 09:54:40 VN Time (UTC+7)","DeepFileSystem (RAM: XboxPcAppFT.exe | Original: XboxPcAppFT.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Widgets Platform Runtime","0.5","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService","2026/07/02","2026/07/03 01:55:57 VN Time (UTC+7)","2026/07/16 09:54:47 VN Time (UTC+7)","DeepFileSystem (RAM: WidgetService.exe | Original: WidgetService.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"UniKey","4.3 RC4","unikey.org","C:\Users\admin\OneDrive\Documents","2025/12/02","2023/02/17 20:54:31 VN Time (UTC+7)","2026/07/16 09:55:43 VN Time (UTC+7)","DeepFileSystem (RAM: UniKeyNT.exe | Original: UniKeyNT.exe)","OpenSource","GPL / Apache Open Source License","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Phone Link","1.26052.144+70e2cda0efe805c62b60ad38215e8b1bd41d32ae","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26052.144.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 02:17:39 VN Time (UTC+7)","2026/07/16 09:56:20 VN Time (UTC+7)","DeepFileSystem (RAM: PhoneExperienceHost.exe | Original: PhoneExperienceHost.dll)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft 365 Copilot","19.2606.58031.0","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2606.58031.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 02:14:38 VN Time (UTC+7)","2026/07/16 12:37:03 VN Time (UTC+7)","DeepFileSystem (RAM: M365Copilot.exe | Original: M365Copilot.exe)","Commercial","Microsoft 365 Commercial Copilot Subscription","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Codex","149.0.7827.197","OpenAI OpCo, LLC","C:\Program Files\WindowsApps\OpenAI.Codex_26.623.11225.0_x64__2p2nqsd0c76g0\app","2026/07/02","2026/07/03 02:21:37 VN Time (UTC+7)","2026/07/16 12:43:55 VN Time (UTC+7)","DeepFileSystem (RAM: Codex.exe | Original: chrome.exe)","Unknown","Unknown License","None","False",0,"No verification plugin claimed checking capability for this software package.","core.unknown","2026/07/16 16:43:32 VN Time (UTC+7)"
"Antigravity IDE","2.1.1","Google LLC","C:\Users\admin\AppData\Local\Programs\Antigravity IDE","2026/06/29","2026/06/17 23:22:16 VN Time (UTC+7)","2026/07/16 13:04:17 VN Time (UTC+7)","DeepFileSystem (RAM: Antigravity IDE.exe | Original: Antigravity IDE.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft OneDrive Sync Service","26.113.0614.0004","Microsoft Corporation","C:\Program Files\Microsoft OneDrive\26.113.0614.0004","2026/07/11","2026/07/11 12:08:24 VN Time (UTC+7)","2026/07/16 14:14:57 VN Time (UTC+7)","DeepFileSystem (RAM: OneDrive.Sync.Service.exe | Original: OneDrive.Sync.Service.exe)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Notepad","11.2605.29.0","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2605.29.0_x64__8wekyb3d8bbwe\Notepad","2026/07/02","2026/07/03 02:29:29 VN Time (UTC+7)","2026/07/16 15:15:44 VN Time (UTC+7)","DeepFileSystem (RAM: Notepad.exe | Original: Notepad.exe)","Unknown","Unknown License","None","False",0,"No verification plugin claimed checking capability for this software package.","core.unknown","2026/07/16 16:43:32 VN Time (UTC+7)"
"PowerShell","7.6.3 SHA: 4061323c4e021bea0a08e753f13df015fed607e5+4061323c4e021bea0a08e753f13df015fed607e5","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.PowerShell_7.6.3.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 01:58:37 VN Time (UTC+7)","2026/07/16 15:38:35 VN Time (UTC+7)","DeepFileSystem (RAM: pwsh.exe | Original: pwsh.dll)","OpenSource","MIT License","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
".NET","10.0.9 @Commit: 901ca941248413c79832d2fdbd709da0c4386353","Microsoft Corporation","C:\Program Files\dotnet","2026/05/20","2026/05/20 19:46:22 VN Time (UTC+7)","2026/07/16 16:03:41 VN Time (UTC+7)","DeepFileSystem (RAM: dotnet.exe | Original: .NET Host)","OpenSource","Open Source License","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"VBCSCompiler","5.0.0-2.26270.113+901ca941248413c79832d2fdbd709da0c4386353","Microsoft Corporation","C:\Program Files\dotnet\sdk\10.0.109\Roslyn\bincore","2026/05/20","2026/05/20 20:53:46 VN Time (UTC+7)","2026/07/16 16:34:11 VN Time (UTC+7)","DeepFileSystem (RAM: VBCSCompiler.exe | Original: VBCSCompiler.dll)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"LicenseIntelligencePlatform.Presentation.Cli","1.0.0+068b2afa2a3f85f3edd150651a9266d5a6faae13","LicenseIntelligencePlatform.Presentation.Cli","D:\source code\License-Intelligence-Platform-Docs\src\LicenseIntelligencePlatform.Presentation.Cli\bin\Release\net8.0","2026/07/16","2026/07/16 16:43:30 VN Time (UTC+7)","2026/07/16 16:43:30 VN Time (UTC+7)","DeepFileSystem (RAM: LicenseIntelligencePlatform.Presentation.Cli.exe | Original: LicenseIntelligencePlatform.Presentation.Cli.dll)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
